id,cid,tp,onstop,offstop,ridestart,ridedis,ridetime,fair,transcount,onx,ony,offx,offy,hours,hoursend,dis,function1,function2,EXTRA
361,9.00E+15,1,50159,40239,26334,3.5,10.97,0.81,0,372422.54,146433.53,369406.44,146209.46,2.44,2.44,0,824,724,11.05
362,9.00E+15,1,55031,67301,66962,5.3,18.57,1.01,0,371358.5,153612.05,376175.01,153539.11,6.20,6.20,0,862,762,11.05
364,8.89E+15,1,18051,11361,62643,3.9,18.53,0.71,0,365086.07,143566.49,365453.44,144448.22,5.80,5.80,0,858,758,11.05
369,2.00E+15,2,67351,65031,64684,1.5,5.07,0.36,0,376687.52,153643.53,377811.94,153338.1,5.99,5.99,0,659,460,11.05
371,8.89E+15,1,11369,18051,61778,1.2,2.9,0.71,0,365471.94,144446.44,365086.07,143566.49,5.72,5.72,0,857,757,11.05
373,9.00E+15,1,4142,81201,63715,5.2,26.03,0.91,0,372021.03,142933.24,375742.45,145774.12,5.90,5.90,0,858,759,11.05
374,2.00E+15,2,65031,67359,24866,2,8.67,0.36,0,377811.94,153338.1,376556.99,153677.98,2.30,2.30,0,623,423,11.05
378,2.00E+15,3,4223,51081,44446,7,28.98,0.81,0,371905.74,142716.5,370838.29,148194.2,4.12,4.12,0,441,141,11.05
389,2.00E+15,2,59511,59139,55408,0.8,2.85,0.36,0,369724.59,157777.15,369793.59,158241.47,5.13,5.13,0,651,451,11.05
390,2.00E+15,3,1013,51081,60981,6,31.4,0.76,0,372430.38,143460.47,370838.29,148194.2,5.65,5.65,0,456,156,11.05
394,8.89E+15,1,92161,1329,57335,5.2,13.97,0.91,0,377245.25,144140.83,373579.35,144274.94,5.31,5.31,0,853,753,11.05
399,2.00E+15,2,58291,58329,25107,1.5,5.55,0.36,0,368717.84,159831.15,368355.86,160350.7,2.32,2.33,0,623,423,11.05
402,2.00E+15,2,58291,58329,56714,1.5,3.43,0.36,0,368717.84,159831.15,368355.86,160350.7,5.25,5.25,0,652,453,11.05
413,9.00E+15,1,40239,40219,27349,0.7,2.48,0,1,369406.44,146209.46,369387.54,145612.38,2.53,2.53,0,825,725,11.05
419,2.00E+15,2,43389,28331,60671,1.6,6,0.36,0,360734.58,148973.33,359603.33,148372.67,5.62,5.62,0,656,456,11.05
425,2.00E+15,2,27391,22369,49161,1.6,6.65,0.36,0,354969.77,149090.17,354834.64,148180.27,4.55,4.55,0,645,446,11.05
434,9.00E+15,1,22009,23081,67962,4.5,11.32,0.76,0,356012.5,148106.56,352945.85,147064.1,6.29,6.29,0,862,763,11.05
436,2.00E+15,2,66431,52059,78288,6.2,18.33,0.51,0,374878.21,151798.68,372715.97,148483.61,7.25,7.25,0,672,473,11.05
437,2.00E+15,2,52061,63211,68068,4.5,17.4,0.46,0,373007.27,148530.9,374928.95,151249.03,6.30,6.30,0,663,463,11.05
438,2.00E+15,1,54341,64491,67887,4.2,20.07,0.81,0,371823.39,151976.47,375294.2,152022.78,6.29,6.29,0,862,763,11.05
441,9.00E+15,1,63399,60159,73501,6.2,18.98,1.01,0,375431.17,151480.25,374025.76,146387.73,6.81,6.81,0,868,768,11.05
444,9.00E+15,1,63319,7518,38852,9.1,35.45,1.21,0,375254.06,151379.25,372279.28,143797.58,3.60,3.60,1,836,737,11.05
454,2.00E+15,2,85049,92129,53512,6.6,19.47,0.55,0,383326.61,146663.73,378345.14,144479.07,4.95,4.96,0,649,450,11.05
455,9.00E+15,1,92129,10101,31015,14.5,61.4,1.45,0,378345.14,144479.07,368023.78,142069.43,2.87,2.88,1,829,730,11.05
457,9.00E+15,1,71071,80069,73905,6.1,22.07,1.01,0,377382.5,147735.09,375084.03,145054.43,6.84,6.85,0,868,768,11.05
460,9.00E+15,1,3311,28401,67181,21.5,25.65,2.3,0,372650.47,140985.87,357413.17,149324.85,6.22,6.22,2,864,764,11.05
461,9.00E+15,1,9048,1112,84348,2.9,10.28,0.71,0,370271.49,144163.72,372642.93,143720.57,7.81,7.81,0,878,778,11.05
463,8.99E+15,1,54589,52021,28678,4.8,24.88,0.91,0,372805.48,151641.18,371798.03,148623.96,2.66,2.66,0,826,727,11.05
464,9.00E+15,1,65171,65229,55371,2.3,7.75,0.71,0,379066.24,154073.72,378246.09,155124.79,5.13,5.13,0,851,751,11.05
466,9.00E+15,1,53231,52361,56722,2,6.37,0.71,0,371826.81,149323.59,372388.67,148122.17,5.25,5.25,0,852,753,11.05
471,9.00E+15,1,50221,50241,72561,0.7,2.73,0.71,0,372387.76,146089.25,372871.03,145617.52,6.72,6.72,0,867,767,11.05
474,9.00E+15,1,81029,40271,31433,5.6,26.48,1.01,0,375950.18,145220.05,371657.31,144687.62,2.91,2.91,0,829,729,11.05
477,8.99E+15,1,84049,80089,77003,6.5,20.85,1.09,0,381481.97,146412.88,375483.38,145129.55,7.13,7.13,0,871,771,11.05
483,8.99E+15,1,20271,28291,61063,2.7,9.72,0.71,0,360447.25,146505.01,359429.29,148655.87,5.65,5.65,0,856,757,11.05
485,9.00E+15,1,77191,77271,67061,1.9,5.77,0.71,0,382743.53,152181.65,381510.57,152619.82,6.21,6.21,0,862,762,11.05
492,9.00E+15,1,40211,40231,56893,0.6,1.63,0.71,0,369367.48,145545.11,369360.3,146171.92,5.27,5.27,0,852,753,11.05
494,9.00E+15,1,92079,71069,26195,4.7,22.83,0.91,0,379273.19,144446.14,377043.12,148012.06,2.43,2.43,0,824,724,11.05
